Type,City,Bedrooms,Area,Price,Predicted_Price,Discount_pct
Chalet,North Coast,2.0,95.0,280000,1637169.310101577,82.9
Chalet,North Coast,2.0,85.0,220000,1286141.5143442466,82.9
Town House,Shorouk City,3.0,270.0,660000,3848895.851239851,82.9
Town House,Shorouk City,4.0,223.0,533000,3123204.643168549,82.9
Chalet,New Hut - El Tagamoa,3.0,145.0,336000,1969757.6273732092,82.9
Twin House,North Coast,4.0,180.0,360000,2096686.4166177115,82.8
Twin House,North Coast,3.0,155.0,500000,2901604.725803997,82.8
Stand Alone Villa,Ain Sukhna,3.0,472.0,927500,5369628.544838029,82.7
Twin House,Sheikh Zayed,4.0,350.0,540000,3115779.1320267455,82.7
Chalet,North Coast,2.0,115.0,300000,1733968.9471626196,82.7
Town House,Mostakbal City,4.0,239.0,292500,1695422.839014711,82.7
Chalet,North Coast,2.0,85.0,220000,1274379.8801800336,82.7
Stand Alone Villa,New Hut - El Tagamoa,5.0,260.0,526000,3038187.6210173657,82.7
Chalet,North Coast,2.0,85.0,229000,1319505.7035247576,82.6
Stand Alone Villa,Sheikh Zayed,4.0,363.0,900000,5162466.194563258,82.6
Chalet,North Coast,2.0,85.0,190000,1090465.1729576513,82.6
Apartment,New Hut - El Tagamoa,2.0,121.0,110000,630557.2030632263,82.6
Apartment,New Capital City,3.0,144.0,98000,562587.3075059741,82.6
Town House,New Capital City,4.0,245.0,246000,1409897.2104454606,82.6
Apartment,Khosous,2.0,85.0,70000,400082.2818461207,82.5
Town House,North Coast,4.0,170.0,498000,2841899.4785255403,82.5
Apartment,6th of October,2.0,106.0,220000,1260167.567994667,82.5
Apartment,New Capital City,2.0,135.0,176175,1009139.4804397456,82.5
Twin House,6th of October,4.0,374.0,557000,3189687.1395371407,82.5
Penthouse,North Coast,4.0,160.0,459100,2616208.672360743,82.5
Stand Alone Villa,New Hut - El Tagamoa,4.0,420.0,1800000,10275798.930074176,82.5
Chalet,Ain Sukhna,3.0,136.0,130000,743162.1548237399,82.5
Chalet,North Coast,2.0,139.0,377900,2146891.165460459,82.4
Apartment,Zahraa Al Maadi,3.0,135.0,100000,566808.3745552802,82.4
Stand Alone Villa,Sheikh Zayed,5.0,675.0,575000,3258017.5016295724,82.4
Apartment,New Hut - El Tagamoa,3.0,155.0,447000,2522289.003510193,82.3
Chalet,North Coast,2.0,108.0,250000,1412786.707727953,82.3
Stand Alone Villa,New Capital City,7.0,597.0,580000,3280985.3156625386,82.3
Twin House,North Coast,4.0,230.0,530000,3000289.9966702336,82.3
Apartment,6th of October,3.0,180.0,125800,711657.4390679093,82.3
Chalet,Ain Sukhna,2.0,121.0,231900,1305147.569997001,82.2
Chalet,North Coast,3.0,122.0,150000,841157.8430304959,82.2
Town House,Sheikh Zayed,4.0,180.0,610000,3430931.1967475917,82.2
Town House,New Capital City,4.0,387.0,300000,1689025.3898932405,82.2
Chalet,North Coast,2.0,91.0,115000,640930.2565224192,82.1
Twin House,Shorouk City,4.0,268.0,638000,3558010.1674651857,82.1
Chalet,North Coast,2.0,85.0,262000,1463466.9846335703,82.1
Stand Alone Villa,North Coast,3.0,175.0,500000,2790017.598583842,82.1
Chalet,North Coast,3.0,108.0,334000,1858331.9957235444,82.0
Stand Alone Villa,New Capital City,5.0,600.0,670000,3712967.5079929614,82.0
Chalet,North Coast,2.0,85.0,280000,1556901.1134442047,82.0
Town House,Shorouk City,4.0,220.0,550000,3061438.3003240945,82.0
Chalet,New Hut - El Tagamoa,3.0,190.0,130000,721438.556107504,82.0
Town House,Shorouk City,4.0,213.0,500000,2784251.4229711597,82.0
Chalet,New Hut - El Tagamoa,2.0,88.0,166000,916622.351798966,81.9
Chalet,North Coast,2.0,100.0,300000,1661924.4432794687,81.9
Chalet,Sheikh Zayed,3.0,125.0,286000,1576430.8330614802,81.9
Chalet,North Coast,2.0,92.0,250000,1376712.0421637946,81.8
Chalet,Ain Sukhna,2.0,121.0,195000,1070880.3397865957,81.8
Chalet,North Coast,2.0,115.0,310000,1702034.5613122263,81.8
Chalet,North Coast,2.0,100.0,125000,684166.8384838047,81.7
Chalet,North Coast,3.0,200.0,327000,1788027.3220564104,81.7
Stand Alone Villa,New Hut - El Tagamoa,4.0,324.0,100000,547453.6653046507,81.7
Town House,Mostakbal City,3.0,208.0,310000,1691558.0167649768,81.7
Chalet,North Coast,2.0,96.0,170000,929377.4180588103,81.7
Chalet,North Coast,3.0,110.0,270000,1466012.1487299448,81.6
Chalet,North Coast,2.0,97.0,135000,729040.0579751205,81.5
Town House,New Hut - El Tagamoa,4.0,220.0,600000,3246669.9820679277,81.5
Stand Alone Villa,Sheikh Zayed,4.0,205.0,340000,1841686.4591542888,81.5
Stand Alone Villa,Sheikh Zayed,4.0,615.0,1500000,8107640.974267648,81.5
Chalet,North Coast,1.0,70.0,150000,810257.2729982443,81.5
Chalet,North Coast,3.0,145.0,336000,1817236.230517567,81.5
Town House,New Hut - El Tagamoa,3.0,350.0,400000,2149597.6089140507,81.4
Chalet,North Coast,3.0,284.0,250000,1347421.7275782444,81.4
Town House,New Hut - El Tagamoa,3.0,240.0,600000,3218139.360024198,81.4
Chalet,North Coast,2.0,75.0,200000,1073572.5088936815,81.4
Stand Alone Villa,Alamein,5.0,900.0,1299999,6964945.08065506,81.3
Chalet,North Coast,3.0,120.0,264000,1415226.8541422072,81.3
Apartment,New Capital City,3.0,191.0,280000,1498263.7922623765,81.3
Chalet,North Coast,3.0,130.0,250000,1340336.1719063944,81.3
Apartment,Madinaty,3.0,140.0,400000,2139705.7260243297,81.3
Stand Alone Villa,New Hut - El Tagamoa,4.0,179.0,270000,1440663.3424231,81.3
Chalet,Ain Sukhna,3.0,120.0,160000,855358.4567849254,81.3
Town House,Mostakbal City,3.0,218.0,316000,1686979.5986365257,81.3
Twin House,Ain Sukhna,4.0,180.0,555000,2960421.5386624625,81.3
Town House,Shorouk City,4.0,210.0,500000,2666381.471300535,81.2
Chalet,North Coast,2.0,97.0,138000,729040.0579751205,81.1
Stand Alone Villa,New Hut - El Tagamoa,5.0,450.0,600000,3179122.5795058473,81.1
Chalet,Ain Sukhna,3.0,103.0,206000,1090199.156855831,81.1
Chalet,North Coast,2.0,96.0,170000,896826.0236999107,81.0
Chalet,North Coast,2.0,93.0,300000,1574957.8901544109,81.0
